regime,seed,state_idx,K,temperature,configured_diversity,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,mode_coverage_observed,marginal_diversity_gain_high_n
low_diversity_high_quality,1,0,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,0,16,0.88,0.95,0.5745408294382195,1.6553227067946248,0.0,1.0,-0.0050763236578380555
high_diversity_misaligned,1,0,16,0.95,1.0,0.6506770654586277,1.6518124380162407,0.0,1.0,0.0014857098924588863
collapsed_sampler,1,0,18,0.34,0.03,0.03509284946113201,1.6495449702496412,0.0,0.2,0.00013412241245819995
noisy_low_k_sampler,1,0,2,1.1,0.9,2.6150665657365497,1.6517818351795586,0.0,1.0,0.06673415888293688
expensive_high_k_sampler,1,0,32,0.62,0.55,0.20740115705770784,2.270049030996335,0.0,0.8,0.021101178597287662
low_diversity_high_quality,1,1,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,1,16,0.88,0.95,0.5442844550188525,1.6578038573175133,0.0,1.0,-0.002345908011734843
high_diversity_misaligned,1,1,16,0.95,1.0,0.6203479337652354,1.652201817874847,0.0,1.0,0.01356052452890888
collapsed_sampler,1,1,18,0.34,0.03,0.035542572098749316,1.6432158268042076,0.0,0.2,0.00017938928723390535
noisy_low_k_sampler,1,1,2,1.1,0.9,2.62245256043517,1.642661883505277,0.0,1.0,0.05138759032860163
expensive_high_k_sampler,1,1,32,0.62,0.55,0.2250633556400828,2.2534336415751706,0.0,0.8,-0.017168080073279524
low_diversity_high_quality,1,2,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,2,16,0.88,0.95,0.5661073875013861,1.6595681376922835,0.0,1.0,-0.01211036789365505
high_diversity_misaligned,1,2,16,0.95,1.0,0.633712814094566,1.6468469753170767,0.0,1.0,0.012659391433424094
collapsed_sampler,1,2,18,0.34,0.03,0.03528043215455498,1.6457442279206234,0.0,0.2,-0.000871210057693951
noisy_low_k_sampler,1,2,2,1.1,0.9,2.6179649914274377,1.651979312322549,0.0,1.0,0.08995206202398887
expensive_high_k_sampler,1,2,32,0.62,0.55,0.22375920776319655,2.210119395838053,0.0,0.8,-0.03537448051359762
low_diversity_high_quality,1,3,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,3,16,0.88,0.95,0.557081278448425,1.6509250105223354,0.0,1.0,0.021441015709124267
high_diversity_misaligned,1,3,16,0.95,1.0,0.6382234683088736,1.648971913204156,0.0,1.0,0.01005646454450515
collapsed_sampler,1,3,18,0.34,0.03,0.03417663488768857,1.6421979460661524,0.0,0.2,-0.0003204203993629126
noisy_low_k_sampler,1,3,2,1.1,0.9,2.5343667690083462,1.6532292878782497,0.0,1.0,0.07798542222785487
expensive_high_k_sampler,1,3,32,0.62,0.55,0.23696457845690558,1.5230163484414427,0.0,0.8,-0.009413222652522174
low_diversity_high_quality,1,4,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,4,16,0.88,0.95,0.5756825646472298,1.6576341099830434,0.0,1.0,-0.006824783237159959
high_diversity_misaligned,1,4,16,0.95,1.0,0.6196215877294581,1.6504974590504855,0.0,1.0,0.012462397409158443
collapsed_sampler,1,4,18,0.34,0.03,0.03462616456596712,1.6565328950768203,0.0,0.2,-0.0012645670884898416
noisy_low_k_sampler,1,4,2,1.1,0.9,2.536856533054732,1.6385688744514777,0.0,1.0,-0.07066846496074985
expensive_high_k_sampler,1,4,32,0.62,0.55,0.2412836415623431,1.4703930018948055,0.0,0.8,0.01159780369032698
low_diversity_high_quality,1,5,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,5,16,0.88,0.95,0.5683514508682725,1.6563929688238093,0.0,1.0,-0.013094113619065206
high_diversity_misaligned,1,5,16,0.95,1.0,0.6419061288842361,1.6586082096712542,0.0,1.0,0.016410140877011647
collapsed_sampler,1,5,18,0.34,0.03,0.03571898866699373,1.6443084677810034,0.0,0.2,0.00012086503903743773
noisy_low_k_sampler,1,5,2,1.1,0.9,2.4909815388190575,1.650997353131814,0.0,1.0,-0.03865113945930476
expensive_high_k_sampler,1,5,32,0.62,0.55,0.2539050185412634,1.4874407125319011,0.0,0.8,-0.026574827092055192
low_diversity_high_quality,1,6,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,6,16,0.88,0.95,0.5509943198775455,1.6599120041149378,0.0,1.0,0.0021855503703988033
high_diversity_misaligned,1,6,16,0.95,1.0,0.6012973370983755,1.6474468945350875,0.0,1.0,0.011308094860212892
collapsed_sampler,1,6,18,0.34,0.03,0.03554074747248777,1.6400168205986687,0.0,0.2,-0.0005409181678825495
noisy_low_k_sampler,1,6,2,1.1,0.9,2.5053373253571376,1.6446316358389181,0.0,1.0,-0.040423756508848996
expensive_high_k_sampler,1,6,32,0.62,0.55,0.2546926757642614,1.4773066057872895,0.0,0.8,-0.0036470069149349693
low_diversity_high_quality,1,7,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,7,16,0.88,0.95,0.5463465216890768,1.6539414338509042,0.0,1.0,0.029251698942293514
high_diversity_misaligned,1,7,16,0.95,1.0,0.6281234910447093,1.650563877679448,0.0,1.0,-0.010813488297828577
collapsed_sampler,1,7,18,0.34,0.03,0.03557506819082973,1.6498021277651722,0.0,0.2,0.00020918802922736957
noisy_low_k_sampler,1,7,2,1.1,0.9,2.596072494534392,1.6412921850849558,0.0,1.0,0.07609015901790661
expensive_high_k_sampler,1,7,32,0.62,0.55,0.2588743301904785,1.51114408233265,0.0,0.8,0.016322254195190733
low_diversity_high_quality,2,0,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,0,16,0.88,0.95,0.5751796504491331,1.6582750761012544,0.0,1.0,0.014499281262933983
high_diversity_misaligned,2,0,16,0.95,1.0,0.6225908637762311,1.6488238845313912,0.0,1.0,0.0013359787339344287
collapsed_sampler,2,0,18,0.34,0.03,0.0356202914882485,1.6406971893807782,0.0,0.2,0.0012170268307271012
noisy_low_k_sampler,2,0,2,1.1,0.9,2.621722346551114,1.6489742115534394,0.0,1.0,0.017315766096376972
expensive_high_k_sampler,2,0,32,0.62,0.55,0.22667419967751234,2.2636852278466733,0.0,0.8,-0.021960676833898907
low_diversity_high_quality,2,1,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,1,16,0.88,0.95,0.5602899239803892,1.6603969885487135,0.0,1.0,0.004441101123345725
high_diversity_misaligned,2,1,16,0.95,1.0,0.6192135262722138,1.6581804111109453,0.0,1.0,-0.008530279593389367
collapsed_sampler,2,1,18,0.34,0.03,0.03524741654735042,1.6456414697646575,0.0,0.2,0.0010745244627460224
noisy_low_k_sampler,2,1,2,1.1,0.9,2.470502779030346,1.637061232156043,0.0,1.0,-0.00464831538757382
expensive_high_k_sampler,2,1,32,0.62,0.55,0.2454793594655977,1.4780411205449049,0.0,0.8,-0.0002294155128237385
low_diversity_high_quality,2,2,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,2,16,0.88,0.95,0.5663252665437203,1.6513539069118595,0.0,1.0,-0.006955182874826993
high_diversity_misaligned,2,2,16,0.95,1.0,0.6261859169374,1.653975161804533,0.0,1.0,-0.014909628124097574
collapsed_sampler,2,2,18,0.34,0.03,0.033845059489710644,1.6458224325095108,0.0,0.2,-0.0004556328445186886
noisy_low_k_sampler,2,2,2,1.1,0.9,2.6579053121996923,1.6465854058770428,0.0,1.0,0.036745440663279005
expensive_high_k_sampler,2,2,32,0.62,0.55,0.23375446939655725,2.010745188482878,0.0,0.8,-0.020366703230180222
low_diversity_high_quality,2,3,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,3,16,0.88,0.95,0.574778409333246,1.647013180965816,0.0,1.0,-0.0058115249763986965
high_diversity_misaligned,2,3,16,0.95,1.0,0.6340907850059626,1.6453144987515267,0.0,1.0,-0.0008472196870983328
collapsed_sampler,2,3,18,0.34,0.03,0.035690953639145394,1.6481093032719836,0.0,0.2,-0.0004936972789921085
noisy_low_k_sampler,2,3,2,1.1,0.9,2.630353130832522,1.6463582505359957,0.0,1.0,0.06667425712864894
expensive_high_k_sampler,2,3,32,0.62,0.55,0.22938809317063805,1.96112204870443,0.0,0.8,-0.005260274591447456
low_diversity_high_quality,2,4,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,4,16,0.88,0.95,0.5611680450282378,1.6503046718580894,0.0,1.0,0.019623373943380207
high_diversity_misaligned,2,4,16,0.95,1.0,0.6270384512171217,1.6487014578839592,0.0,1.0,0.011875664025090327
collapsed_sampler,2,4,18,0.34,0.03,0.03587901989308358,1.6419710015186364,0.0,0.2,-9.502037715360817e-05
noisy_low_k_sampler,2,4,2,1.1,0.9,2.4426404007960554,1.6486728992347692,0.0,1.0,-0.1447227560926807
expensive_high_k_sampler,2,4,32,0.62,0.55,0.24533724198788062,1.4864355615970617,0.0,0.8,0.019074135318108948
low_diversity_high_quality,2,5,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,5,16,0.88,0.95,0.5617501952622117,1.6555871680980867,0.0,1.0,-0.01156378736123298
high_diversity_misaligned,2,5,16,0.95,1.0,0.6306201802589187,1.6452288252370495,0.0,1.0,-0.02160943821235628
collapsed_sampler,2,5,18,0.34,0.03,0.036466456726843274,1.6441752803861456,0.0,0.2,0.001134003256542511
noisy_low_k_sampler,2,5,2,1.1,0.9,2.5417649114731686,1.648472514121048,0.0,1.0,0.06366898631086215
expensive_high_k_sampler,2,5,32,0.62,0.55,0.24681014666146633,1.4883229557977904,0.0,0.8,-0.024639082686179176
low_diversity_high_quality,2,6,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,6,16,0.88,0.95,0.5430623398093761,1.650773168515124,0.0,1.0,0.015129092218377882
high_diversity_misaligned,2,6,16,0.95,1.0,0.634336124788063,1.6463093307355374,0.0,1.0,0.016965112810450544
collapsed_sampler,2,6,18,0.34,0.03,0.035175232641534944,1.645655926038342,0.0,0.2,-0.000739871678019581
noisy_low_k_sampler,2,6,2,1.1,0.9,2.525948093585761,1.6458330960274459,0.0,1.0,0.04196065654963954
expensive_high_k_sampler,2,6,32,0.62,0.55,0.2323954462494978,2.0901909399701437,0.0,0.8,0.016379371398668213
low_diversity_high_quality,2,7,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,2,7,16,0.88,0.95,0.5607952269480935,1.6577579840344137,0.0,1.0,0.01677626830648804
high_diversity_misaligned,2,7,16,0.95,1.0,0.6059197661859629,1.6463990712361918,0.0,1.0,0.017945955507901012
collapsed_sampler,2,7,18,0.34,0.03,0.03558557006140994,1.6464254729327823,0.0,0.2,0.00029150599484937395
noisy_low_k_sampler,2,7,2,1.1,0.9,2.6063383998586764,1.651316193923198,0.0,1.0,0.03627281768596369
expensive_high_k_sampler,2,7,32,0.62,0.55,0.21260178275975697,2.256928003483929,0.0,0.8,-0.006147626867507694
